220	MacLane I.2: Delooping monoids and groups into one-object categories
221	MacLane I.2: The matrix category Matr_K
226	MacLane I.2: The roster of standard large categories
227	MacLane I.3: The covariant power-set functor
234	MacLane I.3: Functors between preorders, groups, and representation categories
237	MacLane I.4: The double-dual natural isomorphism for finite-dimensional vector spaces
238	MacLane I.4: The skeleton equivalence between finite sets and finite ordinals
241	MacLane I.4: Natural transformations between group homomorphisms are conjugations
245	MacLane I.5: Epis in Sets are exactly the surjections
247	MacLane I.5: Uniqueness of terminal, initial, and zero objects
248	MacLane I.5: Groupoids and the structure of connected groupoids
250	MacLane I.5: Monic/epi cancellation and a non-invertible bimorphism
253	MacLane I.6: Size and foundations vocabulary
254	MacLane I.6: Small completeness of Sets (indexed products and coproducts)
255	MacLane I.6: Grp, the category of groups
261	MacLane I.7: Set_*, the category of pointed sets
262	MacLane I.7: Rel, converse relations, and the graph embedding
263	MacLane I.7: Concrete categories
266	MacLane II.1: The ETAC statement language and the duality principle
270	MacLane II.3: Bifunctors and transformations from partial data (Propositions 1 and 2)
271	MacLane II.3: The cylinder C x 2 and the universal natural transformation
275	MacLane II.3: The ring of continuous functions as a contravariant functor
277	MacLane II.4: The arrow category as [2, B] and the classification of natural transformations
279	MacLane II.4: Linear representations as the functor category (K-Mod)^G
296	MacLane II.7: The free monoid and its universal property
299	MacLane II.8: The least congruence and presented categories
301	MacLane II.8: Group congruences are normal subgroups
309	MacLane III.1: Free modules and polynomial rings as universal arrows
311	MacLane III.1: A universal element for the contravariant power-set functor
313	MacLane III.1: Quotient groups and the isomorphism theorems by universality
315	MacLane III.1: Quotient setoids and coequalizers in Sets
316	MacLane III.2: Naturality of the Yoneda isomorphism in both variables
321	MacLane III.4: Powers and copowers of an object
324	MacLane III.3: Coproducts in the familiar algebraic and topological categories
326	MacLane III.4: Interdefinability of the finite (co)limit constructions
328	MacLane III.3: Coproducts in Mon and Grph
333	MacLane III.4: Pullbacks and kernel pairs in Sets
335	MacLane III.5: All finite products from a terminal object and binary products
341	MacLane III.6: Group objects through their representable functors
343	MacLane III.6: The categories of internal monoids and groups have finite products
345	MacLane III.7: The category of elements of a set-valued functor
346	MacLane III.7: The density theorem: set-valued functors as colimits of representables
347	MacLane IV.1: Determination of an adjunction by its counit and by couniversal arrows
348	MacLane IV.1: A left adjoint exists exactly when the hom-functors are representable
351	MacLane IV.1: Coproducts as the left adjoint of the diagonal functor
353	MacLane IV.2: Limits and colimits as adjoints of the diagonal functor
357	MacLane IV.2: The adjoint string on the objects functor of Cat
365	MacLane IV.2: A left adjoint to the coslice projection
369	MacLane IV.3: Monomorphisms and epimorphisms in a functor category are pointwise
374	MacLane IV.4: Skeletons and skeletal categories
380	MacLane IV.5: Galois connections are adjunctions between preorders
382	MacLane IV.5: The powerset preorder and the direct-image/inverse-image adjunction
384	MacLane IV.5: Quantifiers as adjoints to substitution
387	MacLane IV.5: Base change is right adjoint to composition on slices
389	MacLane IV.6: Powerset lattices and Boolean algebras are cartesian closed
392	MacLane IV.6: Cartesian closure is not inherited by functor categories
403	MacLane IV.9: Subobject classifiers for functor categories
404	MacLane IV.10: Sets and presheaf categories as elementary toposes
405	MacLane IV.10: Every elementary topos has finite colimits
406	MacLane V.1: Creation of limits by a functor
407	MacLane V.1: Completeness of Sets by cone sets
411	MacLane V.1: The forgetful functor of Grp lifts and creates limits
414	MacLane V.1: Cat is small-complete
416	MacLane V.2: Limits from products and equalizers
417	MacLane V.2: Finite index categories and finite limits
422	MacLane V.2: Products in a preorder are greatest lower bounds
423	MacLane V.2: A small small-complete category is a preorder (Freyd)
424	MacLane V.3: The evaluation functor on a functor category
425	MacLane V.3: Pointwise limits in a functor category
427	MacLane V.4: Cone-level preservation of limits and continuous functors
428	MacLane V.4: Hom-functors are continuous
429	MacLane V.4: Projective and injective objects
432	MacLane V.5: Non-existence of adjoints in Set and Set^op
435	MacLane V.6: The initial-object theorem as a characterization
436	MacLane V.6: The Freyd adjoint functor theorem as a characterization
437	MacLane V.6: The representability theorem
440	MacLane V.6: The category of algebras of a variety
441	MacLane V.6: The free-algebra adjunction for a variety
442	MacLane V.6: The free group functor via the adjoint functor theorem
443	MacLane V.6: Left adjoints to forgetful functors by the adjoint functor theorem
444	MacLane V.6: The solution set condition is necessary (counterexamples)
447	MacLane V.7: Generating (separating) sets of objects
453	MacLane V.8: The special adjoint functor theorem as a characterization
458	MacLane V.9: Top is complete and cocomplete
479	MacLane VI.6: Algebraic quotients as coequalizers split under the forgetful functor (groups and rings)
503	MacLane VII.3: Finite products in the category of monoids
530	MacLane VIII.1: Equalizers as kernels of differences in an Ab-category
534	MacLane VIII.2: Product, biproduct, and coproduct coincide in an Ab-category
561	MacLane IX.1: Algebraic forgetful functors create filtered colimits
590	MacLane X.3: Existence of Kan extensions from completeness and the global adjoint to precomposition
637	MacLane App.1: Natural-numbers object
640	Awodey 1.4: Wide subcategories of Sets cut out by a class of functions
641	Awodey 1.4: Pos, the category of posets and monotone maps
642	Awodey 1.4: The category of a deductive system (proofs as arrows)
643	Awodey 1.5: Automorphism groups, permutation groups, and Cayley's theorem
644	Awodey 1.5: Every category with small hom-collections is concrete (Cayley/Yoneda into Sets)
645	Awodey 1.9 Ex 3: Isomorphisms versus bijective homomorphisms in Sets, Mon, and Pos
646	Awodey 1.9 Ex 4: The coslice as the opposite of the slice over the opposite category
647	Awodey 1.9 Ex 5: Free categories on graphs with exactly six arrows
648	Awodey 2.1: Monomorphisms in Mon are exactly the injective homomorphisms
649	Awodey 2.1: The inclusion of the additive monoid of naturals into the integers is a non-surjective epimorphism
650	Awodey 2.1: Sets is balanced — a monic epimorphism of sets is an isomorphism
651	Awodey 2.1: Every arrow in a poset is a bimorphism, and Pos is not balanced
652	Awodey 2.2: Initial and terminal objects in slice categories, coslices, and posets
653	Awodey 2.2: Boolean algebras and the category Bool
654	Awodey 2.3: Filters, ultrafilters, and the correspondence between Boolean homomorphisms to 2 and ultrafilters
655	Awodey 2.3: Well-pointed categories and having enough points
656	Awodey 2.4: Functors preserve split monomorphisms and split epimorphisms
657	Awodey 2.4: The categorical axiom of choice and projective objects in Sets and Pos
658	Awodey 3.2: The coproduct bifunctor + : C ∏ C ⟶ C
659	Awodey 3.2: The coproduct universal property — representability and uniqueness up to isomorphism
660	Awodey 3.3: Subsets as equalizers of their characteristic functions in Sets
661	Awodey 3.5 Ex 6: Kernel relations, quotients, and generated equivalence relations in Sets
662	Awodey 3.5 Ex 5: The category of posets has all coequalizers
663	Awodey 3.4: Presentations of algebras by generators and relations as coequalizers of free algebras
664	Awodey 4.3: The homomorphism theorem for categories — kernel congruence, kernel category, and the bijective-on-objects/faithful factorization of a functor
665	Awodey 4.3–4.4: Coequalizers of functors in Cat via congruence quotients
666	Awodey 4.4: Finitely presented example categories — the walking isomorphism, Z/2Z, cyclic groups, and presentations of the category 3
667	Awodey 4.1: Group objects in Sets, Top, and Pos recover ordinary, topological, and ordered groups
668	Awodey 4.5 Ex 2: Internal groups in a slice Sets/I as an I-indexed family of groups
669	Awodey 5.1: The subobject preorder Sub_C(X) as a category, and its poset quotient
670	Awodey 5.1: Functoriality of subobjects — direct image along a mono, and monotonicity of reindexing
671	Awodey 5.1: Local membership of generalized elements, and the equalizer as a comprehension subobject
672	Awodey 5.3/5.7 Ex 1: Pullback calculus — the prism lemma, and monos as pullback squares
